id_cliente,idade,nivel_educacao,geracao,possui_parceiro,qts_criancas,responde_campanha,salario_anual,salario_mensal,preferência,n_compras,ultima_compra,total_gasto,produto_mais_compra,,R,F,M,,R_SCORE,F_SCORE,M_SCORE,MÉDIA_F_M,SEGMENTAÇÃO
5524,68,Grado o superior,Baby Boomers,NÂO,0,SIM,"$58.138,00","$4.844,83",loja online,12,2022-07-23,"$1.617,00",VINHO,,158,12,"$1.617,00",,2,3,4,"3,5",Precisam de Atenção
2174,71,Grado o superior,Baby Boomers,NÂO,2,NÃO,"$46.344,00","$3.862,00",loja física,3,2022-11-28,"$27,00",VINHO,,33,3,"$27,00",,4,1,1,1,Recém-Chegados
4141,60,Grado o superior,Geração X,SIM,0,NÃO,"$71.613,00","$5.967,75",loja física,18,2022-10-09,"$776,00",VINHO,,82,18,"$776,00",,3,4,3,"3,5",Promissores
6182,41,Grado o superior,Millennials,SIM,1,NÃO,"$26.646,00","$2.220,50",loja física,6,2022-11-19,"$53,00",CARNES,,42,6,"$53,00",,4,2,1,"1,5",Recém-Chegados
5324,44,Posgrado,Millennials,SIM,1,NÃO,"$58.293,00","$4.857,75",loja física,11,2022-11-09,"$422,00",VINHO,,52,11,"$422,00",,4,3,3,3,Potenciais de Ouro
7446,58,Posgrado,Geração X,SIM,1,NÃO,"$62.513,00","$5.209,42",loja física,16,2022-10-16,"$716,00",VINHO,,75,16,"$716,00",,3,4,3,"3,5",Promissores
965,54,Grado o superior,Geração X,NÂO,1,NÃO,"$55.635,00","$4.636,25",loja online,14,2022-10-30,"$590,00",VINHO,,60,14,"$590,00",,3,3,3,3,Promissores
6177,40,Posgrado,Millennials,SIM,1,NÃO,"$33.454,00","$2.787,83",loja online,8,2022-10-30,"$169,00",VINHO,,60,8,"$169,00",,3,2,2,2,Promissores
4855,51,Posgrado,Geração X,SIM,1,SIM,"$30.351,00","$2.529,25",loja online,5,2022-07-23,"$46,00",CARNES,,158,5,"$46,00",,2,1,1,1,Hibernando
5899,75,Posgrado,Baby Boomers,SIM,2,NÃO,"$5.648,00","$470,67",loja online,1,2022-03-13,"$49,00",VINHO,,288,1,"$49,00",,1,1,1,1,Hibernando
1994,42,Grado o superior,Millennials,SIM,1,NÃO,"$52.189,52","$4.349,13",loja física,3,2022-05-27,"$19,00",CARNES,,214,3,"$19,00",,2,1,1,1,Hibernando
387,49,Secundaria,Geração X,SIM,0,NÃO,"$7.500,00","$625,00",loja física,5,2021-09-05,"$61,00",FRUTAS,,476,5,"$61,00",,1,1,1,1,Hibernando
2125,66,Grado o superior,Baby Boomers,NÂO,0,NÃO,"$63.033,00","$5.252,75",loja física,11,2022-12-05,"$1.102,00",CARNES,,26,11,"$1.102,00",,4,3,4,"3,5",Leais de Ouro
8180,73,Posgrado,Baby Boomers,NÂO,2,NÃO,"$59.354,00","$4.946,17",loja online,11,2022-11-08,"$310,00",VINHO,,53,11,"$310,00",,4,3,2,"2,5",Potenciais de Ouro
2569,38,Grado o superior,Millennials,SIM,0,NÃO,"$17.323,00","$1.443,58",loja física,4,2021-09-04,"$46,00",CARNES,,477,4,"$46,00",,1,1,1,1,Hibernando
2114,79,Posgrado,Baby Boomers,NÂO,0,SIM,"$82.800,00","$6.900,00",loja física,19,2022-07-19,"$1.315,00",VINHO,,162,19,"$1.315,00",,2,4,4,4,Precisam de Atenção
9736,45,Grado o superior,Geração X,SIM,2,NÃO,"$41.850,00","$3.487,50",loja online,6,2022-05-06,"$96,00",VINHO,,235,6,"$96,00",,2,2,2,2,Precisam de Atenção
4939,79,Grado o superior,Baby Boomers,SIM,0,NÃO,"$37.760,00","$3.146,67",loja física,10,2022-07-15,"$317,00",PEIXES,,166,10,"$317,00",,2,2,2,2,Precisam de Atenção
6565,76,Posgrado,Baby Boomers,SIM,1,NÃO,"$76.995,00","$6.416,25",loja online,20,2022-04-07,"$1.782,00",VINHO,,264,20,"$1.782,00",,1,4,4,4,Precisam de Atenção
2278,40,Secundaria,Millennials,NÂO,1,NÃO,"$33.812,00","$2.817,67",loja física,5,2021-07-03,"$133,00",OUTROS,,538,5,"$133,00",,1,1,2,"1,5",Hibernando
9360,43,Grado o superior,Millennials,SIM,0,NÃO,"$37.040,00","$3.086,67",loja física,9,2022-09-20,"$316,00",VINHO,,101,9,"$316,00",,3,2,2,2,Promissores
1993,76,Posgrado,Baby Boomers,SIM,1,NÃO,"$58.607,00","$4.883,92",loja física,11,2022-03-20,"$972,00",VINHO,,281,11,"$972,00",,1,3,3,3,Precisam de Atenção
4047,71,Posgrado,Baby Boomers,SIM,1,NÃO,"$65.324,00","$5.443,67",loja física,15,2022-12-24,"$544,00",VINHO,,7,15,"$544,00",,4,4,3,"3,5",Leais de Ouro
1409,74,Grado o superior,Baby Boomers,SIM,1,NÃO,"$40.689,00","$3.390,75",loja online,12,2022-11-30,"$444,00",VINHO,,30,12,"$444,00",,4,3,3,3,Potenciais de Ouro
7892,56,Grado o superior,Geração X,NÂO,0,NÃO,"$18.589,00","$1.549,08",loja física,5,2022-07-02,"$75,00",CARNES,,179,5,"$75,00",,2,1,2,"1,5",Hibernando
2404,49,Grado o superior,Geração X,SIM,2,NÃO,"$53.359,00","$4.446,58",loja online,9,2022-05-23,"$257,00",VINHO,,218,9,"$257,00",,2,2,2,2,Precisam de Atenção
5255,39,Grado o superior,Millennials,NÂO,1,NÃO,"$52.189,52","$4.349,13",loja online,27,2022-10-27,"$637,00",OUTROS,,64,27,"$637,00",,3,4,3,"3,5",Promissores
9422,36,Grado o superior,Millennials,SIM,1,NÃO,"$38.360,00","$3.196,67",loja física,6,2022-09-07,"$131,00",CARNES,,114,6,"$131,00",,3,2,2,2,Promissores
1966,60,Posgrado,Geração X,SIM,0,NÃO,"$84.618,00","$7.051,50",loja física,16,2022-12-10,"$1.672,00",CARNES,,21,16,"$1.672,00",,4,4,4,4,Leais de Ouro
